"condition","title","phase","sponsor","sponsor_class"
"Bipolar","Comparative Safety, Tolerability, and Effectiveness of Lithium Versus Quetiapine in Patients Across the Spectrum of Bipolar Disorder","PHASE4","University Hospitals Cleveland Medical Center","OTHER"
"Bipolar","A Double-blind, Oral, Multiple-dose, Parallel, Randomized Study to Evaluate Efficacy and Safety of Endoxifen in Bipolar I Disorder Patients","PHASE3","Jina Pharmaceuticals Inc.","INDUSTRY"
"Bipolar","Depakote ER Therapy for Mania Comorbid With Substance Abuse","PHASE4","Creighton University","OTHER"
"Bipolar","MBCT for Perinatal Women With Mood Disorders","PHASE1","University of California, Los Angeles","OTHER"
"Bipolar","NO TITLE","PHASE3","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Bipolar","Study of FK949E - An Open-label, Two-way Crossover Study to Evaluate the Effects of Switching Different Strength Forms of FK949E in Bipolar Disorder Patients With Major Depressive Episodes","PHASE3","Astellas Pharma Inc","INDUSTRY"
"Bipolar","The Impact of AMPA Receptor Blockade on Ketamine's Anti-Suicidal Effects","PHASE2","Yale University","OTHER"
"Bipolar","A Single-Dose Comparative Bioavailability Study of Two Formulations of Divalproex Sodium 500 mg Delayed Release Tablets Under Fasting Conditions","PHASE1","Sandoz","INDUSTRY"
"Bipolar","Cognitive Training to Improve Work Outcomes in Severe Mental Illness","PHASE2","University of California, San Diego","OTHER"
"Bipolar","Injectable Versus Oral Naltrexone Treatment of Alcohol Dependence In Serious Mental Illness (SMI): A Pilot Study","PHASE4","State University of New York - Upstate Medical University","OTHER"
"Bipolar","Outcomes Mandate National Integration With Cannabis as Medicine","PHASE2","OMNI Medical Services, LLC","NETWORK"
"Bipolar","Randomized Double-Blind Trial of Liothyronine (T3) Augmentation to Treatment as Usual vs Placebo For The Treatment of Bipolar Depression","PHASE3","Northwell Health","OTHER"
"Bipolar","A Double-blind, Placebo-controlled, Randomized Withdrawal, Multicenter Clinical Trial Evaluating the Efficacy, Safety and Tolerability of Cariprazine in a Dose-reduction Paradigm in the Prevention of Relapse in Bipolar I Disorder Patients Whose Current Episode is Manic or Depressive, With or Without Mixed Features","PHASE3","AbbVie","INDUSTRY"
"Bipolar","A Multi-center, Randomized, Double-blind, Parallel Group, Placebo-controlled 52 Weeks Clinical Trial to Evaluate Efficacy and Safety of Oxcarbazepine p.o.(300-1200 mg/Day) as Adjuvant Therapy in the Bipolar Disorder I or II Treatment","PHASE4","Novartis","INDUSTRY"
"Bipolar","A Fixed-Dose Study of Lamotrigine Versus Placebo in the Long Term Prevention of Relapse and/or Recurrence of a Manic, Hypomanic, Mixed or Depressive Episode in Adult Subjects With Bipolar I Disorder","PHASE3","GlaxoSmithKline","INDUSTRY"
"Bipolar","A 24-Week, Flexible-Dose, Open-Label Extension Study of Lurasidone for the Treatment of Bipolar I Depression","PHASE3","Sumitomo Pharma America, Inc.","INDUSTRY"
"Bipolar","A Phase 4, Single-Arm, Open-Label Study to Evaluate the Effectiveness of Valbenazine on Patient- and Clinician-Reported Outcomes in Subjects With Tardive Dyskinesia","PHASE4","Neurocrine Biosciences","INDUSTRY"
"Bipolar","Central Versus Peripheral GABA and Glutamate Biomarkers for Treatment Response During Two Infusions of Intravenous Ketamine for Treatment-Resistant Depression","EARLY_PHASE1","Mayo Clinic","OTHER"
"Bipolar","Clinical Study of the EASYTRAK 3 Spiral Fixation Coronary Venous Bipolar Pace/Sense Lead","PHASE2","Boston Scientific Corporation","INDUSTRY"
"Bipolar","A Randomized, Double-Blind Study of Depakote Monotherapy, Olanzapine Monotherapy, and Combination Therapy of Depakote Plus Olanzapine in Stable Subjects During the Maintenance Phase of Bipolar Illness","PHASE4","Abbott","INDUSTRY"
"Bipolar","Estimating and Reducing the Cardiovascular Risk of Patients With Schizophrenia Drugs From Lipid Measures and Ischemic Electrocardiographic Changes","PHASE3","Northwestern University","OTHER"
"Bipolar","A Pilot Study Investigating the Efficacy of Minocycline and N-Acetyl Cysteine for Bipolar Depression","PHASE4","Massachusetts General Hospital","OTHER"
"Bipolar","Minocycline for Bipolar Disorder","PHASE4","Icahn School of Medicine at Mount Sinai","OTHER"
"Bipolar","Olanzapine/Fluoxetine Combination Versus Lamotrigine in the Treatment of Bipolar I Depression","PHASE4","Eli Lilly and Company","INDUSTRY"
"Schizophrenia","A Fifteen-month, Prospective, Randomized, Active-controlled, Open-label, Flexible Dose Study of Paliperidone Palmitate Compared With Oral Antipsychotic Treatment in Delaying Time to Treatment Failure in Adults With Schizophrenia Who Have Been Incarcerated","PHASE4","Janssen Scientific Affairs, LLC","INDUSTRY"
"Schizophrenia","A RANDOMIZED, DOUBLE-BLIND, PLACEBO CONTROLLED, PARALLEL GROUP, SPONSOR OPEN, PHASE 1B STUDY TO EXAMINE THE SAFETY, TOLERABILITY, PHARMACOKINETICS, AND PHARMACODYNAMICS OF PF-06412562 IN PSYCHIATRICALLY STABLE SUBJECTS WITH SCHIZOPHRENIA","PHASE1","Pfizer","INDUSTRY"
"Schizophrenia","Schizophrenia, Related Troubles and Glutathione: Clinical Trial. Effects of Oral Administration of N-Acetylcysteine (NAC) on the Brain Glutathione Level and on the Symptoms of Schizophrenia: Double-blind and Crossover Study","PHASE1","Centre Hospitalier Universitaire Vaudois","OTHER"
"Schizophrenia","A Randomized Trial Administering Estradiol Patch vs. Placebo Patch as add-on to Antipsychotics in Patients With Schizophrenia, Schizoaffective or Schizophreniform Disorder","PHASE3","Tangent Data","OTHER"
"Schizophrenia","Metabolic Effects of Newer Antipsychotics in Older Patients","PHASE4","Veterans Medical Research Foundation","OTHER"
